"Time (EpSec)","Semi-major Axis (km)","Eccentricity","Inclination (deg)","RAAN (deg)","Arg of Perigee (deg)","True Anomaly (deg)","Mean Anomaly (deg)"
0.000,7367.700000,0.003987,82.924,272.948,297.291,0.000,0.000
60.000,7368.622741,0.004115,82.924,272.947,296.030,4.721,4.682
137.086,7369.900364,0.004299,82.925,272.946,294.934,10.262,10.174
214.150,7371.251577,0.004495,82.925,272.946,294.401,15.238,15.103
291.238,7372.643542,0.004693,82.926,272.945,294.373,19.711,19.530
368.368,7374.041957,0.004883,82.927,272.944,294.768,23.761,23.537
445.550,7375.412260,0.005057,82.927,272.944,295.505,27.474,27.207
522.809,7376.721224,0.005209,82.928,272.943,296.498,30.932,30.626
600.163,7377.937579,0.005335,82.928,272.943,297.670,34.215,33.872
677.420,7379.029637,0.005431,82.929,272.943,298.945,37.389,37.012
754.609,7379.972284,0.005494,82.930,272.942,300.252,40.524,40.116
828.841,7380.717916,0.005524,82.930,272.942,301.479,43.567,43.132
905.922,7381.307818,0.005523,82.930,272.942,302.660,46.817,46.357
982.989,7381.696738,0.005491,82.930,272.942,303.686,50.220,49.738
1060.053,7381.875735,0.005433,82.931,272.942,304.493,53.837,53.336
1137.116,7381.840436,0.005353,82.931,272.942,305.023,57.730,57.212
1212.337,7381.600731,0.005259,82.930,272.942,305.219,61.848,61.317
1289.457,7381.151959,0.005155,82.930,272.942,305.044,66.441,65.901
1366.637,7380.509460,0.005051,82.930,272.942,304.460,71.445,70.897
1443.872,7379.689021,0.004956,82.930,272.942,303.455,76.869,76.316
1521.162,7378.710403,0.004880,82.929,272.942,302.054,82.689,82.135
1598.530,7377.597796,0.004832,82.929,272.941,300.318,88.844,88.291
1676.002,7376.379542,0.004820,82.928,272.941,298.354,95.229,94.679
1753.593,7375.086556,0.004847,82.928,272.941,296.302,101.707,101.163
1831.306,7373.750371,0.004915,82.927,272.940,294.310,108.127,107.591
1909.140,7372.401887,0.005021,82.926,272.940,292.518,114.350,113.825
1987.105,7371.071089,0.005162,82.926,272.939,291.035,120.268,119.756
2065.227,7369.787352,0.005328,82.925,272.938,289.935,125.809,125.313
2143.531,7368.579717,0.005513,82.925,272.937,289.252,130.940,130.461
2221.973,7367.477323,0.005706,82.924,272.936,288.991,135.653,135.195
2300.398,7366.508973,0.005898,82.924,272.935,289.131,139.962,139.526
2378.816,7365.698887,0.006081,82.923,272.934,289.632,143.906,143.494
2457.243,7365.068005,0.006246,82.923,272.933,290.446,147.535,147.149
2535.686,7364.632096,0.006387,82.923,272.931,291.521,150.902,150.544
2614.128,7364.400637,0.006499,82.923,272.930,292.799,154.062,153.735
2692.555,7364.377202,0.006577,82.922,272.929,294.228,157.069,156.774
2770.963,7364.560510,0.006621,82.923,272.928,295.756,159.975,159.714
2849.387,7364.944820,0.006627,82.923,272.926,297.333,162.831,162.605
2927.782,7365.519285,0.006598,82.923,272.925,298.910,165.683,165.495
3006.190,7366.269515,0.006533,82.923,272.924,300.441,168.582,168.433
3084.593,7367.177674,0.006436,82.924,272.923,301.879,171.573,171.464
3162.997,7368.223479,0.006310,82.924,272.922,303.177,174.703,174.636
3241.403,7369.383822,0.006159,82.925,272.921,304.287,178.022,177.997
3319.820,7370.632761,0.005989,82.926,272.920,305.161,181.578,181.597
3398.251,7371.941289,0.005807,82.926,272.919,305.751,185.418,185.481
3476.682,7373.277667,0.005620,82.927,272.918,306.017,189.583,189.691
3555.113,7374.609502,0.005436,82.927,272.918,305.932,194.101,194.253
3633.580,7375.905919,0.005264,82.928,272.917,305.485,198.983,199.180
3712.121,7377.137555,0.005112,82.929,272.917,304.691,204.220,204.461
3790.740,7378.275598,0.004988,82.929,272.916,303.592,209.766,210.050
3869.235,7379.289958,0.004897,82.930,272.916,302.274,215.527,215.854
3947.583,7380.156148,0.004844,82.930,272.916,300.848,221.390,221.758
4025.797,7380.853571,0.004828,82.931,272.916,299.441,227.228,227.635
4103.898,7381.365397,0.004848,82.931,272.916,298.181,232.916,233.360
4181.893,7381.679090,0.004898,82.931,272.916,297.179,238.342,238.821
4259.794,7381.787496,0.004973,82.931,272.916,296.513,243.431,243.941
4317.777,7381.733591,0.005039,82.931,272.916,296.262,246.975,247.507
4378.135,7381.556158,0.005114,82.931,272.916,296.232,250.435,250.988
4455.864,7381.149044,0.005214,82.931,272.916,296.536,254.552,255.128
4533.540,7380.549151,0.005310,82.930,272.916,297.204,258.304,258.900
4611.167,7379.769328,0.005395,82.930,272.916,298.199,261.729,262.341
4688.752,7378.826652,0.005464,82.930,272.915,299.477,264.873,265.497
4766.299,7377.742400,0.005511,82.929,272.915,300.986,267.787,268.419
4843.826,7376.541796,0.005534,82.929,272.915,302.672,270.527,271.161
4921.422,7375.252448,0.005529,82.928,272.914,304.481,273.152,273.784
4998.979,7373.907387,0.005494,82.927,272.914,306.350,275.717,276.343
5076.551,7372.537499,0.005431,82.927,272.913,308.223,278.282,278.897
5154.141,7371.174423,0.005338,82.926,272.912,310.041,280.907,281.507
5231.780,7369.849630,0.005217,82.925,272.912,311.740,283.656,284.237
5309.509,7368.594868,0.005072,82.925,272.911,313.250,286.603,287.159
5387.313,7367.442059,0.004906,82.924,272.910,314.495,289.822,290.350
5465.015,7366.422303,0.004725,82.924,272.908,315.391,293.387,293.883
5542.617,7365.559348,0.004535,82.923,272.907,315.859,297.378,297.839
5620.118,7364.872591,0.004344,82.923,272.906,315.819,301.872,302.294
5697.529,7364.377445,0.004161,82.923,272.905,315.208,306.936,307.316
5774.867,7364.085503,0.003996,82.923,272.903,313.982,312.612,312.948
5852.142,7364.004303,0.003860,82.923,272.902,312.147,318.896,319.186
5929.361,7364.137323,0.003762,82.923,272.901,309.771,325.719,325.961
6006.543,7364.484052,0.003710,82.923,272.899,307.004,332.932,333.125
6083.704,7365.038974,0.003710,82.923,272.898,304.066,340.317,340.460
6160.838,7365.789833,0.003762,82.923,272.897,301.212,347.617,347.709
6237.929,7366.717558,0.003863,82.924,272.896,298.678,354.595,354.637
6314.989,7367.798568,0.004004,82.924,272.895,296.631,1.085,1.077
6392.045,7369.006528,0.004175,82.925,272.894,295.155,7.004,6.946
6469.108,7370.312266,0.004365,82.926,272.893,294.265,12.338,12.231
6546.177,7371.683770,0.004563,82.926,272.892,293.923,17.124,16.971
6623.272,7373.087446,0.004760,82.927,272.891,294.060,21.431,21.233
6700.419,7374.488883,0.004946,82.928,272.891,294.596,25.342,25.100
6777.630,7375.853384,0.005114,82.928,272.890,295.447,28.941,28.658
6854.933,7377.147428,0.005259,82.929,272.890,296.530,32.312,31.991
6932.261,7378.337666,0.005375,82.929,272.889,297.766,35.529,35.172
7009.495,7379.392614,0.005460,82.930,272.889,299.080,38.661,38.271
7070.718,7380.115931,0.005504,82.930,272.889,300.130,41.134,40.720
7134.376,7380.748770,0.005527,82.931,272.889,301.190,43.735,43.299
7211.419,7381.338482,0.005525,82.931,272.889,302.378,46.977,46.515
7288.469,7381.724829,0.005493,82.931,272.889,303.404,50.377,49.894
7365.537,7381.901575,0.005434,82.931,272.889,304.211,53.997,53.494
7442.625,7381.866055,0.005353,82.931,272.889,304.739,57.892,57.373
7518.313,7381.625826,0.005259,82.931,272.889,304.935,62.036,61.505
7595.437,7381.177776,0.005154,82.931,272.889,304.759,66.631,66.090
7672.604,7380.535570,0.005050,82.931,272.889,304.171,71.637,71.089
7749.830,7379.715308,0.004955,82.930,272.889,303.164,77.063,76.510
7827.130,7378.737567,0.004880,82.930,272.888,301.760,82.885,82.331
7904.517,7377.626794,0.004833,82.929,272.888,300.025,89.040,88.487
7981.999,7376.410529,0.004820,82.929,272.888,298.065,95.423,94.873
8059.584,7375.118448,0.004848,82.928,272.887,296.014,101.898,101.354
8137.288,7373.781299,0.004916,82.928,272.887,294.023,108.317,107.781
8215.122,7372.430216,0.005023,82.927,272.886,292.231,114.540,114.016
8293.090,7371.096107,0.005164,82.926,272.886,290.748,120.458,119.947
8371.208,7369.809156,0.005331,82.926,272.885,289.650,125.997,125.502
8449.507,7368.598727,0.005515,82.925,272.884,288.970,131.124,130.647
8527.962,7367.493901,0.005709,82.925,272.883,288.712,135.835,135.378
8606.399,7366.523326,0.005901,82.924,272.882,288.854,140.142,139.707
8684.824,7365.709974,0.006084,82.924,272.880,289.355,144.086,143.676
8763.245,7365.073558,0.006249,82.923,272.879,290.167,147.717,147.333
8841.673,7364.629625,0.006390,82.923,272.878,291.238,151.086,150.731
8920.108,7364.388688,0.006503,82.923,272.877,292.514,154.249,153.924
8998.539,7364.355891,0.006582,82.923,272.876,293.941,157.259,156.966
9076.965,7364.531277,0.006626,82.923,272.874,295.468,160.166,159.907
9155.394,7364.910008,0.006633,82.923,272.873,297.046,163.021,162.798
9233.800,7365.481916,0.006603,82.924,272.872,298.624,165.873,165.687
9312.222,7366.232411,0.006538,82.924,272.871,300.156,168.771,168.625
9390.630,7367.142434,0.006441,82.924,272.870,301.593,171.763,171.657
9469.031,7368.190364,0.006314,82.925,272.869,302.888,174.897,174.832
9547.437,7369.352325,0.006162,82.925,272.868,303.992,178.221,178.199
9625.853,7370.601884,0.005992,82.926,272.867,304.859,181.784,181.806
9704.274,7371.909835,0.005809,82.927,272.866,305.441,185.632,185.697
9782.695,7373.244950,0.005622,82.927,272.865,305.701,189.803,189.913
9861.123,7374.575588,0.005438,82.928,272.865,305.610,194.326,194.481
9939.587,7375.871287,0.005267,82.928,272.864,305.158,199.214,199.413
10018.119,7377.103006,0.005115,82.929,272.864,304.360,204.453,204.696
10096.740,7378.242613,0.004991,82.929,272.864,303.259,210.002,210.289
10175.239,7379.260029,0.004900,82.930,272.863,301.938,215.766,216.095
10243.692,7380.029184,0.004852,82.930,272.863,300.691,220.890,221.254
10313.403,7380.683155,0.004831,82.931,272.863,299.422,226.108,226.508
10391.504,7381.244609,0.004843,82.931,272.863,298.114,231.843,232.280
10469.521,7381.611001,0.004887,82.931,272.863,297.040,237.342,237.814
10547.448,7381.773214,0.004956,82.931,272.863,296.287,242.518,243.023
10625.290,7381.727146,0.005043,82.931,272.863,295.909,247.318,247.852
10701.228,7381.482188,0.005138,82.931,272.863,295.918,251.624,252.184
10778.935,7381.032548,0.005237,82.931,272.863,296.309,255.654,256.236
10856.593,7380.392394,0.005331,82.930,272.863,297.056,259.327,259.927
10934.206,7379.576609,0.005412,82.930,272.863,298.120,262.684,263.299
11011.785,7378.603835,0.005476,82.929,272.863,299.452,265.774,266.400
11089.342,7377.496172,0.005517,82.929,272.862,301.001,268.651,269.283
11166.881,7376.278834,0.005533,82.928,272.862,302.712,271.366,272.000
11244.373,7374.980327,0.005521,82.928,272.862,304.531,273.975,274.606
11321.906,7373.629689,0.005480,82.927,272.861,306.402,276.538,277.162
11399.477,7372.259211,0.005409,82.926,272.860,308.265,279.114,279.725
11477.090,7370.901498,0.005310,82.926,272.860,310.060,281.764,282.359
11554.738,7369.588851,0.005184,82.925,272.859,311.720,284.554,285.128
11632.462,7368.352408,0.005033,82.924,272.858,313.176,287.556,288.105
11710.232,7367.223849,0.004863,82.924,272.857,314.347,290.847,291.367
11787.901,7366.233714,0.004678,82.923,272.855,315.151,294.503,294.991
11865.483,7365.405571,0.004487,82.923,272.854,315.506,298.607,299.058
11942.970,7364.758654,0.004297,82.923,272.853,315.334,303.233,303.644
12020.367,7364.307904,0.004118,82.922,272.852,314.575,308.445,308.813
12097.698,7364.063725,0.003959,82.922,272.850,313.197,314.273,314.598
12174.969,7364.031588,0.003832,82.922,272.849,311.220,320.698,320.976
12252.177,7364.212312,0.003744,82.922,272.848,308.738,327.628,327.857
12329.338,7364.602997,0.003705,82.923,272.846,305.917,334.894,335.073
12406.476,7365.196710,0.003717,82.923,272.845,302.987,342.270,342.399
12483.592,7365.980838,0.003781,82.923,272.844,300.198,349.504,349.583
12560.681,7366.936616,0.003891,82.924,272.843,297.770,356.376,356.404
12637.752,7368.040265,0.004039,82.924,272.841,295.854,2.737,2.715
12714.812,7369.264014,0.004214,82.925,272.841,294.515,8.518,8.447
12791.858,7370.577175,0.004406,82.925,272.840,293.754,13.722,13.603
12868.911,7371.948290,0.004604,82.926,272.839,293.523,18.396,18.230
12946.016,7373.346201,0.004798,82.927,272.838,293.750,22.614,22.403
13023.192,7374.738691,0.004980,82.927,272.838,294.357,26.455,26.202
13100.429,7376.091788,0.005145,82.928,272.837,295.263,30.000,29.706
13177.749,7377.371762,0.005284,82.929,272.837,296.388,33.329,32.998
13255.059,7378.544704,0.005395,82.929,272.837,297.652,36.517,36.150
13332.272,7379.580252,0.005474,82.929,272.836,298.982,39.631,39.232
13409.426,7380.453398,0.005520,82.930,272.836,300.309,42.743,42.315
13486.534,7381.142610,0.005532,82.930,272.836,301.566,45.920,45.466
13563.604,7381.631151,0.005512,82.930,272.836,302.688,49.228,48.751
13640.655,7381.907832,0.005464,82.931,272.836,303.611,52.730,52.233
13717.705,7381.967263,0.005391,82.931,272.836,304.274,56.489,55.975
13794.773,7381.810181,0.005299,82.931,272.836,304.621,60.563,60.035
13871.886,7381.443019,0.005196,82.930,272.836,304.602,65.001,64.462
13949.056,7380.876625,0.005089,82.930,272.836,304.181,69.842,69.295
14026.276,7380.125403,0.004989,82.930,272.836,303.339,75.103,74.551
14103.545,7379.207539,0.004904,82.929,272.836,302.086,80.774,80.220
14180.890,7378.145406,0.004844,82.929,272.836,300.468,86.811,86.257
14258.336,7376.965379,0.004817,82.928,272.835,298.576,93.124,92.573
14335.886,7375.696629,0.004828,82.928,272.835,296.536,99.588,99.042
14413.541,7374.369609,0.004880,82.927,272.834,294.496,106.054,105.516
14491.319,7373.015197,0.004972,82.927,272.834,292.601,112.378,111.851
14569.238,7371.664570,0.005100,82.926,272.833,290.977,118.436,117.921
14647.298,7370.348961,0.005258,82.925,272.832,289.715,124.136,123.636
14725.512,7369.098794,0.005437,82.925,272.831,288.865,129.429,128.947
14803.920,7367.943331,0.005628,82.924,272.830,288.443,134.303,133.840
14882.365,7366.912905,0.005822,82.924,272.829,288.434,138.762,138.321
14960.804,7366.032613,0.006010,82.923,272.828,288.805,142.839,142.421
15039.240,7365.322818,0.006182,82.923,272.827,289.506,146.582,146.190
15117.671,7364.799538,0.006334,82.923,272.826,290.486,150.043,149.680
15196.099,7364.474132,0.006458,82.922,272.824,291.690,153.278,152.944
15274.526,7364.353175,0.006551,82.922,272.823,293.065,156.340,156.038
15341.134,7364.412548,0.006602,82.922,272.822,294.328,158.843,158.569
15408.769,7364.623809,0.006629,82.923,272.821,295.668,161.327,161.082
15487.197,7365.054000,0.006625,82.923,272.820,297.254,164.174,163.966
15565.622,7365.672989,0.006585,82.923,272.819,298.826,167.032,166.862
15644.040,7366.465841,0.006510,82.923,272.818,300.339,169.950,169.819
15722.454,7367.413767,0.006403,82.924,272.817,301.743,172.975,172.885
15800.870,7368.494597,0.006268,82.924,272.816,302.991,176.156,176.108
15879.285,7369.682832,0.006110,82.925,272.815,304.034,179.542,179.537
15957.694,7370.950162,0.005935,82.925,272.814,304.824,183.181,183.219
16036.105,7372.266652,0.005751,82.926,272.813,305.319,187.116,187.198
16114.531,7373.601635,0.005564,82.926,272.813,305.482,191.385,191.511
16192.983,7374.924231,0.005383,82.927,272.812,305.289,196.012,196.183
16271.472,7376.203777,0.005216,82.928,272.812,304.736,201.002,201.217
16350.020,7377.410465,0.005072,82.928,272.812,303.848,206.333,206.592
16428.608,7378.515236,0.004957,82.929,272.811,302.679,211.949,212.250
16507.043,7379.489378,0.004877,82.929,272.811,301.324,217.744,218.088
16585.343,7380.310754,0.004834,82.929,272.811,299.898,223.605,223.988
16663.523,7380.960658,0.004828,82.930,272.811,298.530,229.404,229.825
16741.599,7381.423779,0.004856,82.930,272.811,297.341,235.021,235.478
16819.576,7381.688292,0.004913,82.930,272.811,296.431,240.355,240.845
16897.458,7381.746716,0.004992,82.930,272.811,295.873,245.336,245.856
16975.256,7381.596758,0.005084,82.930,272.811,295.701,249.928,250.476
17052.987,7381.241408,0.005182,82.930,272.811,295.921,254.128,254.699
17130.662,7380.688507,0.005278,82.929,272.811,296.516,257.953,258.545
17208.286,7379.950429,0.005365,82.929,272.811,297.448,261.441,262.049
17285.869,7379.043989,0.005436,82.929,272.811,298.675,264.636,265.256
17363.426,7377.990239,0.005487,82.928,272.810,300.144,267.590,268.218
17440.964,7376.814031,0.005513,82.928,272.810,301.802,270.358,270.990
17518.452,7375.543978,0.005513,82.927,272.810,303.591,272.996,273.627
17595.972,7374.209620,0.005483,82.926,272.809,305.454,275.564,276.189
17673.528,7372.843811,0.005424,82.926,272.809,307.332,278.123,278.738
17751.143,7371.479401,0.005335,82.925,272.808,309.164,280.735,281.335
17828.803,7370.148219,0.005220,82.924,272.807,310.886,283.462,284.043
17906.493,7368.880115,0.005079,82.924,272.806,312.435,286.368,286.926
17984.266,7367.703425,0.004916,82.923,272.805,313.737,289.527,290.058
18061.943,7366.650173,0.004737,82.923,272.804,314.710,293.013,293.512
18139.537,7365.747821,0.004548,82.922,272.803,315.268,296.913,297.377
18217.067,7365.019885,0.004356,82.922,272.802,315.327,301.311,301.737
18294.522,7364.484798,0.004171,82.922,272.800,314.812,306.279,306.664
18371.897,7364.155326,0.004003,82.922,272.799,313.680,311.864,312.205
18449.203,7364.038679,0.003861,82.922,272.798,311.927,318.067,318.362
18526.447,7364.136690,0.003757,82.922,272.796,309.620,324.822,325.070
18603.267,7364.444308,0.003698,82.922,272.795,306.914,331.953,332.152
18680.411,7364.957168,0.003690,82.922,272.793,303.994,339.319,339.468
18757.526,7365.662658,0.003733,82.922,272.792,301.118,346.639,346.738
18834.614,7366.544254,0.003824,82.923,272.791,298.522,353.680,353.728
18911.681,7367.580843,0.003957,82.923,272.790,296.382,0.262,0.260
18988.747,7368.747481,0.004121,82.924,272.789,294.799,6.289,6.238
19065.815,7370.015388,0.004306,82.924,272.788,293.797,11.735,11.635
19142.872,7371.352781,0.004501,82.925,272.787,293.345,16.629,16.482
19219.933,7372.727609,0.004696,82.926,272.786,293.381,21.037,20.844
19297.055,7374.109476,0.004882,82.926,272.786,293.825,25.038,24.802
19374.275,7375.468147,0.005053,82.927,272.785,294.600,28.713,28.436
19451.584,7376.771725,0.005203,82.928,272.785,295.627,32.140,31.823
19528.981,7377.987732,0.005327,82.928,272.784,296.830,35.393,35.041
19606.254,7379.082133,0.005420,82.929,272.784,298.133,38.539,38.154
19683.432,7380.028579,0.005481,82.929,272.784,299.464,41.649,41.233
19759.775,7380.797850,0.005508,82.929,272.784,300.746,44.758,44.315
19836.876,7381.386925,0.005504,82.930,272.784,301.940,47.996,47.529
19913.956,7381.771502,0.005469,82.930,272.784,302.968,51.396,50.907
19991.017,7381.940829,0.005407,82.930,272.784,303.766,55.022,54.515
20068.074,7381.890378,0.005324,82.930,272.784,304.271,58.938,58.416
20141.808,7381.638609,0.005229,82.929,272.784,304.427,63.009,62.476
20218.929,7381.171220,0.005124,82.929,272.784,304.206,67.648,67.106
20296.107,7380.509173,0.005019,82.929,272.784,303.565,72.707,72.158
20373.352,7379.671073,0.004926,82.928,272.784,302.503,78.188,77.636
20450.678,7378.678939,0.004854,82.928,272.783,301.050,84.061,83.508
20528.094,7377.557410,0.004810,82.927,272.783,299.277,90.255,89.703
20605.598,7376.333213,0.004803,82.927,272.783,297.293,96.661,96.114
20683.197,7375.034797,0.004835,82.926,272.782,295.236,103.142,102.602
20760.913,7373.692230,0.004909,82.925,272.782,293.255,109.551,109.020
20838.761,7372.337016,0.005021,82.924,272.781,291.488,115.749,115.230
20916.741,7371.001327,0.005166,82.924,272.780,290.047,121.626,121.121
20994.870,7369.716796,0.005336,82.923,272.779,289.001,127.112,126.623
21073.191,7368.513883,0.005523,82.923,272.778,288.382,132.179,131.709
21151.657,7367.422560,0.005718,82.922,272.777,288.188,136.826,136.376
21230.111,7366.470648,0.005909,82.922,272.776,288.392,141.071,140.644
21308.553,7365.679595,0.006089,82.921,272.775,288.950,144.959,144.557
21386.983,7365.066873,0.006251,82.921,272.773,289.809,148.542,148.167
21465.409,7364.645530,0.006389,82.921,272.772,290.917,151.874,151.528
21543.834,7364.423913,0.006497,82.920,272.771,292.219,155.009,154.694
21622.256,7364.405760,0.006572,82.920,272.770,293.665,157.999,157.716
21700.273,7364.588943,0.006612,82.921,272.768,295.196,160.879,160.630
21778.695,7364.970308,0.006617,82.921,272.767,296.780,163.728,163.514
21857.100,7365.540020,0.006585,82.921,272.766,298.363,166.575,166.399
21935.507,7366.285455,0.006519,82.921,272.765,299.898,169.470,169.333
22013.922,7367.190861,0.006420,82.922,272.764,301.339,172.458,172.361
22092.347,7368.236713,0.006292,82.922,272.763,302.636,175.590,175.535
22170.769,7369.398980,0.006139,82.923,272.762,303.741,178.915,178.902
22249.189,7370.650034,0.005967,82.923,272.761,304.604,182.482,182.512
22327.616,7371.959722,0.005783,82.924,272.760,305.178,186.339,186.412
22406.043,7373.296070,0.005596,82.925,272.760,305.424,190.524,190.642
22484.470,7374.627000,0.005412,82.925,272.759,305.316,195.065,195.227
22562.934,7375.922208,0.005241,82.926,272.759,304.845,199.972,200.178
22641.476,7377.152934,0.005090,82.926,272.758,304.026,205.233,205.482
22720.098,7378.290796,0.004967,82.927,272.758,302.907,210.801,211.093
22798.583,7379.305840,0.004878,82.927,272.758,301.570,216.580,216.914
22876.922,7380.173877,0.004827,82.928,272.758,300.130,222.457,222.831
22949.803,7380.831889,0.004812,82.928,272.758,298.808,227.909,228.319
23027.893,7381.358891,0.004832,82.929,272.757,297.533,233.612,234.058
23105.880,7381.686454,0.004882,82.929,272.757,296.517,239.052,239.533
23183.761,7381.805796,0.004957,82.929,272.757,295.843,244.147,244.659
23232.841,7381.772750,0.005013,82.929,272.757,295.615,247.163,247.693
23284.992,7381.646309,0.005077,82.929,272.757,295.547,250.195,250.743
23362.722,7381.286121,0.005176,82.929,272.757,295.775,254.387,254.959
23440.397,7380.727590,0.005273,82.928,272.757,296.379,258.203,258.795
23518.009,7379.982921,0.005361,82.928,272.757,297.324,261.678,262.287
23595.583,7379.069260,0.005433,82.927,272.757,298.564,264.860,265.480
23673.138,7378.008433,0.005484,82.927,272.757,300.045,267.802,268.430
23750.677,7376.825887,0.005511,82.926,272.756,301.714,270.559,271.191
23828.165,7375.550305,0.005510,82.926,272.756,303.511,273.189,273.819
23905.696,7374.210459,0.005480,82.925,272.755,305.382,275.749,276.374
23983.245,7372.838878,0.005420,82.924,272.755,307.268,278.300,278.915
24060.826,7371.468518,0.005331,82.924,272.754,309.107,280.904,281.503
24138.464,7370.132162,0.005215,82.923,272.753,310.834,283.625,284.205
24216.188,7368.861432,0.005073,82.923,272.752,312.381,286.534,287.090
24294.011,7367.686270,0.004909,82.922,272.751,313.675,289.705,290.234
24371.715,7366.637497,0.004730,82.921,272.750,314.634,293.207,293.705
24449.303,7365.740196,0.004540,82.921,272.749,315.175,297.123,297.585
24526.800,7365.017236,0.004349,82.921,272.748,315.215,301.538,301.962
24604.235,7364.488162,0.004164,82.920,272.746,314.678,306.529,306.911
24681.618,7364.167214,0.003996,82.920,272.745,313.516,312.143,312.482
24758.938,7364.061982,0.003856,82.920,272.744,311.732,318.378,318.671
24836.190,7364.173661,0.003755,82.920,272.742,309.397,325.162,325.407
24913.383,7364.498123,0.003699,82.920,272.741,306.660,332.345,332.541
24990.529,7365.026457,0.003694,82.921,272.740,303.739,339.712,339.858
25067.632,7365.745199,0.003740,82.921,272.738,300.881,347.013,347.109
25144.706,7366.637110,0.003834,82.921,272.737,298.317,354.020,354.066
25221.775,7367.681543,0.003969,82.922,272.736,296.217,0.564,0.560
25298.845,7368.853571,0.004134,82.923,272.735,294.674,6.551,6.497
25375.902,7370.123752,0.004319,82.923,272.734,293.711,11.957,11.855
25452.955,7371.460262,0.004513,82.924,272.733,293.293,16.818,16.668
25530.040,7372.830981,0.004707,82.925,272.732,293.356,21.199,21.004
25607.178,7374.203590,0.004892,82.925,272.732,293.820,25.181,24.943
25684.372,7375.545582,0.005060,82.926,272.731,294.605,28.845,28.566
25761.652,7376.825505,0.005206,82.927,272.731,295.629,32.272,31.955
25839.012,7378.012651,0.005326,82.927,272.731,296.818,35.538,35.185
25916.275,7379.076189,0.005415,82.928,272.730,298.097,38.708,38.321
25993.467,7379.991741,0.005473,82.928,272.730,299.397,41.849,41.432
26069.665,7380.730492,0.005498,82.928,272.730,300.639,44.989,44.545
26146.767,7381.293768,0.005493,82.929,272.730,301.794,48.266,47.798
26223.854,7381.657640,0.005458,82.929,272.730,302.782,51.706,51.217
26300.928,7381.812222,0.005397,82.929,272.730,303.541,55.372,54.864
26377.998,7381.753295,0.005315,82.928,272.730,304.011,59.323,58.800
26451.145,7381.501935,0.005224,82.928,272.730,304.140,63.387,62.853
26528.274,7381.038763,0.005122,82.928,272.730,303.902,68.044,67.501
26605.459,7380.385047,0.005021,82.928,272.730,303.253,73.112,72.562
26682.728,7379.557800,0.004932,82.927,272.730,302.191,78.593,78.039
26760.086,7378.576682,0.004863,82.927,272.729,300.747,84.458,83.904
26837.496,7377.463753,0.004822,82.926,272.729,298.987,90.639,90.086
26914.948,7376.244378,0.004818,82.925,272.729,297.018,97.028,96.480
26992.517,7374.948131,0.004854,82.925,272.728,294.978,103.490,102.949
27070.271,7373.608560,0.004930,82.924,272.728,293.022,109.875,109.343
27148.166,7372.260539,0.005045,82.923,272.727,291.291,116.040,115.520
27226.136,7370.936228,0.005192,82.923,272.726,289.890,121.875,121.369
27304.242,7369.664233,0.005363,82.922,272.725,288.883,127.322,126.832
27382.595,7368.473057,0.005550,82.922,272.724,288.296,132.357,131.886
27461.045,7367.394145,0.005744,82.921,272.723,288.130,136.976,136.525
27539.514,7366.453587,0.005935,82.921,272.722,288.354,141.202,140.774
27617.963,7365.672573,0.006114,82.920,272.721,288.925,145.076,144.674
27696.385,7365.068454,0.006275,82.920,272.720,289.793,148.651,148.275
27774.809,7364.654319,0.006412,82.920,272.719,290.905,151.978,151.631
27853.241,7364.438441,0.006519,82.920,272.717,292.208,155.112,154.797
27931.664,7364.424417,0.006594,82.920,272.716,293.652,158.104,157.821
28009.540,7364.609995,0.006633,82.920,272.715,295.176,160.982,160.733
28087.964,7364.993640,0.006637,82.920,272.714,296.756,163.835,163.622
28166.385,7365.565983,0.006605,82.920,272.712,298.333,166.689,166.514
28244.799,7366.314071,0.006537,82.921,272.711,299.861,169.591,169.455
28323.214,7367.221845,0.006438,82.921,272.710,301.292,172.588,172.493
28401.640,7368.270055,0.006309,82.921,272.709,302.579,175.731,175.677
28480.072,7369.435158,0.006155,82.922,272.708,303.671,179.069,179.058
28558.500,7370.689165,0.005983,82.923,272.707,304.519,182.652,182.684
28636.920,7372.000963,0.005799,82.923,272.706,305.076,186.525,186.601
28715.335,7373.338338,0.005611,82.924,272.706,305.304,190.727,190.847
28793.767,7374.669967,0.005427,82.925,272.705,305.179,195.285,195.450
28872.248,7375.965915,0.005257,82.925,272.705,304.691,200.210,200.419
28950.794,7377.196778,0.005107,82.926,272.704,303.857,205.486,205.739
29029.414,7378.333428,0.004985,82.926,272.704,302.725,211.067,211.362
29107.891,7379.344896,0.004897,82.927,272.704,301.382,216.852,217.189
29186.215,7380.206128,0.004848,82.927,272.704,299.944,222.725,223.103
29261.334,7380.872342,0.004835,82.927,272.704,298.595,228.331,228.746
29339.408,7381.381737,0.004857,82.928,272.703,297.348,234.005,234.456
29417.388,7381.691701,0.004909,82.928,272.703,296.367,239.410,239.896
29495.284,7381.795332,0.004984,82.928,272.703,295.728,244.472,244.988
29573.105,7381.690430,0.005075,82.928,272.703,295.473,249.149,249.693
29643.872,7381.415523,0.005164,82.928,272.703,295.582,253.063,253.629
29721.564,7380.922498,0.005262,82.927,272.703,296.065,257.000,257.588
